X,Y,token
-6.317114,-21.951075,horses
20.536463,7.102303,are
24.433828,-14.057848,while
8.484428,33.151463,paying
-7.206829,0.116977945,our
-2.429677,2.4279902,into
9.014605,2.9374826,stable
14.919469,5.75907,already
-4.4343686,-25.330967,talked
0.7808727,19.624767,night
4.0641747,-17.308987,may
9.16952,-3.086878,because
-1.8887229,-20.448292,doubt
0.80027735,-9.509913,whether
-5.3190312,5.930718,take
4.8373046,5.450614,anywhere
14.966664,4.079891,else
-0.8116014,32.512657,got
6.227023,19.421589,hannah
5.3184814,-5.0157013,mentioned
0.029203959,-2.4366286,glad
28.311625,-4.74078,lucky
-15.28694,8.593921,slighted
4.0050416,-19.38411,upon
-33.50088,-1.0132742,account
-13.829131,7.96378,make
15.203587,29.15053,servant
2.566864,16.439404,pretty
25.004253,-3.578776,spoken
8.721198,-10.531747,girl
-2.8281496,-19.485325,opinion
-9.273619,24.10789,whenever
-2.6119194,13.5458145,asks
-12.457512,-19.297035,me
-13.646327,-11.986805,do
12.34695,-13.695872,manner
7.873936,23.973742,needlework
17.783499,-8.467902,observe
7.910389,-18.300997,turns
0.64339006,17.474974,lock
-6.3079348,20.537327,door
-12.130853,-9.901007,right
-2.0358481,-6.1286154,comfort
-13.011892,30.385265,somebody
-6.9537587,-28.069065,about
-3.7477934,11.313464,goes
-7.6659846,-21.456732,hearing
-17.043354,-4.9200087,tell
2.204643,11.152588,spared
27.80928,5.525382,exertions
-4.2542167,-3.2012024,maintain
8.832987,-24.94142,flow
-3.500554,20.084171,ideas
-1.731934,-6.8923097,hoped
11.132814,4.65033,help
13.234637,-2.5172331,tolerably
2.9301286,-13.266634,attacked
-12.208348,-6.571365,regrets
12.539773,-14.047887,table
-28.444223,7.111356,placed
-20.848196,0.3396501,visitor
10.399237,-8.9481535,immediately
-16.692915,-14.485987,afterwards
8.731383,-4.0820413,walked
18.327799,-12.911886,unnecessary
-12.020688,13.604177,mr_knightley
-3.9935482,-9.718891,sensible
-25.337177,7.6991315,eight
-9.126508,-4.903343,thirty
10.032839,12.498193,intimate
2.4510422,-19.94992,connected
5.5312676,-13.244749,elder
13.308291,-24.708559,brother
27.893177,-17.730766,frequent
18.460526,-7.890503,welcome
9.956611,0.16156526,directly
0.3936992,-4.503478,mutual
-3.552662,-15.347984,connexions
20.168007,5.6538515,returned
2.3082829,10.77948,late
22.612167,8.317668,days
-10.031687,1.6850243,absence
