X,Y,token
-9.286495,3.0982554,(
-9.327536,3.1573224,)
-1.4643422,20.279274,increased
-6.3060846,19.054873,constitution
-7.492542,20.205313,habits
-9.325857,-5.074534,life
-8.268409,10.515255,without
-7.3794904,19.657494,activity
-8.9810295,11.675619,mind
-6.4059963,-5.8462815,body
-10.189953,15.2176,older
-8.112359,4.692053,though
1.0776068,1.6075367,everywhere
-5.8154917,18.500095,friendliness
-6.6610394,-7.8240576,heart
-15.977906,23.052345,amiable
11.756039,-24.32616,talents
-4.86201,22.200335,recommended
15.575092,14.535255,him
7.977701,16.804594,time
3.0605495,12.545688,comparatively
-4.132575,-11.672939,removed
-12.6455555,12.777473,matrimony
0.82205087,26.24937,settled
12.227916,11.051426,London
17.262178,-2.0168366,miles
27.612865,12.4393425,off
6.373125,1.6720214,beyond
-7.690288,8.309082,daily
8.383348,2.8299153,reach
5.986102,12.664248,October
5.9926515,12.675346,November
19.168602,11.898611,struggled
1.2599126,27.631802,Hartfield
-14.856843,6.135319,Christmas
7.8076844,16.63732,next
-0.58653617,26.941935,visit
-15.714342,-27.412754,husband
-5.3584175,-8.37546,children
4.0697265,-9.056679,fill
-16.072836,-0.07053701,give
-7.8277583,18.621218,society
27.458427,12.302714,again
1.2729964,27.664303,Highbury
10.578394,-4.617035,populous
8.328534,7.5044594,village
18.822556,10.59559,almost
1.8450952,26.609495,town
-5.9842076,21.672611,spite
1.1633109,4.723196,separate
25.946775,2.6206357,lawn
-11.714646,-22.190443,name
-13.755846,10.068934,really
-19.988613,13.53,belong
-6.3494873,20.994884,afforded
-3.773628,-1.9578652,equals
-3.576035,-5.6994085,All
25.589844,13.845536,looked
27.779472,11.8461895,up
-9.415403,27.306221,acquaintance
-3.0861385,19.622667,universally
-12.510589,15.27329,civil
-2.2295704,-20.842207,among
-19.217463,16.93268,accepted
-7.725667,5.2509294,even
3.1904979,20.465267,melancholy
10.002801,21.066618,sigh
-17.587587,12.130033,wish
-12.304908,16.177748,impossible
0.03681537,6.136685,things
0.18996637,-13.962092,till
-11.246188,1.9328009,awoke
18.773886,13.04241,made
-12.768049,17.096783,necessary
2.909051,20.485855,cheerful
-4.6448917,-2.4173331,His
-5.9859343,25.194227,spirits
-9.755359,22.602142,required
-5.212963,21.241882,support
-4.1137624,15.933238,nervous
-1.7018025,11.486483,easily
-1.7221043,19.7554,depressed
-13.11456,9.963403,used
2.9416692,-14.709618,part
-5.8838816,12.441576,kind
1.7538308,7.113361,origin
-13.851696,14.709955,reconciled
-15.626505,-27.428139,daughter
-11.736639,22.063734,marrying
-15.67339,-3.5957448,nor
-12.801129,12.5154,ever
-12.5836315,-1.9754128,compassion
-11.517309,18.69256,entirely
17.174658,14.902471,when
-17.669163,19.952684,obliged
-8.730577,20.759518,selfishness
-18.980768,18.150793,able
-19.796503,10.275669,suppose
-16.881514,14.372622,feel
-15.0996,16.080523,differently
-13.401319,16.967426,disposed
-11.925422,-3.8759785,done
